postcode,elevation
AB10 1AB,20
AB10 1AN,20
AB10 1AU,10
AB10 1BD,10
AB10 1BU,10
AB10 1FE,10
AB10 1FR,10
AB10 1GE,10
AB10 1HE,10
AB10 1HW,10
AB10 1JG,10
AB10 1JP,10
AB10 1JU,20
AB10 1LP,10
AB10 1NN,20
AB10 1PD,20
AB10 1PP,30
AB10 1QA,30
AB10 1QJ,20
AB10 1QS,20
AB10 1QZ,20
AB10 1RG,30
AB10 1RP,20
AB10 1RU,30
AB10 1SB,30
AB10 1SL,30
AB10 1SS,30
AB10 1TB,20
AB10 1TJ,20
AB10 1TR,30
AB10 1TY,30
AB10 1UE,30
AB10 1UN,30
AB10 1UT,30
AB10 1UZ,30
AB10 1WH,20
AB10 1XB,30
AB10 1XH,30
AB10 1XY,30
AB10 1YE,30
AB10 1YP,30
AB10 1ZP,20
AB10 6AB,20
AB10 6AJ,20
AB10 6AR,20
AB10 6AY,10
AB10 6BJ,10
AB10 6BR,20
AB10 6BX,20
AB10 6DD,20
AB10 6DJ,20
AB10 6ED,20
AB10 6EL,30
AB10 6ES,30
AB10 6EY,30
AB10 6FP,10
AB10 6HE,30
AB10 6HL,30
AB10 6HS,30
AB10 6HY,30
AB10 6JF,30
AB10 6JN,20
AB10 6JW,10
AB10 6LG,30
AB10 6LX,30
AB10 6NJ,40
AB10 6NR,40
AB10 6PA,50
AB10 6PG,50
AB10 6PP,30
AB10 6PU,50
AB10 6QA,20
AB10 6QG,30
AB10 6QP,30
AB10 6QU,30
AB10 6RA,30
AB10 6RG,30
AB10 6RP,30
AB10 6RU,30
AB10 6SA,30
AB10 6SG,30
AB10 6SP,30
AB10 6SU,40
AB10 6TA,40
AB10 6TG,30
AB10 6TS,30
AB10 6UX,40
AB10 6XB,40
AB10 6XJ,30
AB10 6XR,40
AB10 6XX,30
AB10 7AD,40
AB10 7AJ,40
AB10 7AR,40
AB10 7AX,40
AB10 7BD,50
AB10 7BJ,50
AB10 7BR,30
AB10 7BX,30
AB10 7DD,30
AB10 7DJ,20
AB10 7DR,30
AB10 7DY,40
AB10 7EE,30
AB10 7EL,40
AB10 7ES,40
AB10 7EY,40
AB10 7FE,30
AB10 7FL,20
AB10 7FS,40
AB10 7FZ,20
AB10 7GF,40
AB10 7GR,10
AB10 7GX,20
AB10 7HD,30
AB10 7HJ,10
AB10 7HR,20
AB10 7HX,30
AB10 7JD,10
AB10 7JJ,20
AB10 7JR,10
AB10 7JX,10
AB10 7LD,20
AB10 7LJ,10
AB10 7LR,20
AB10 7LX,40
AB10 7ND,40
AB10 7NJ,40
AB10 7NR,30
AB10 7NX,30
AB10 7PD,40
AB10 7PL,30
AB10 7PS,40
AB10 7PY,30
AB10 7QF,10
AB11 5AA,10
AB11 5AH,10
AB11 5AQ,0
AB11 5AW,10
AB11 5BB,10
AB11 5BH,0
AB11 5BQ,20
AB11 5BW,10
AB11 5DD,10
AB11 5DL,10
AB11 5DS,10
AB11 5DY,10
AB11 5EJ,10
AB11 5EU,0
AB11 5FE,10
AB11 5FU,0
AB11 5HP,20
AB11 5HX,20
AB11 5NT,0
AB11 5PF,10
AB11 5PN,10
AB11 5PU,0
AB11 5QD,0
AB11 5QN,0
AB11 5RA,10
AB11 5RH,0
AB11 5SS,10
AB11 5ZH,80
AB11 6AZ,20
AB11 6BG,10
AB11 6BS,20
AB11 6DD,20
AB11 6DL,20
AB11 6DS,20
AB11 6DZ,20
AB11 6EF,20
AB11 6EN,20
AB11 6ET,20
AB11 6EZ,20
AB11 6FJ,10
AB11 6FS,20
AB11 6HA,20
AB11 6HH,20
AB11 6HQ,20
AB11 6HW,20
AB11 6JB,10
AB11 6JJ,10
AB11 6JU,10
AB11 6LA,10
AB11 6LL,10
AB11 6LS,20
AB11 6LZ,10
AB11 6NF,10
AB11 6NR,10
AB11 6NZ,10
AB11 6QD,20
AB11 6SL,10
AB11 6SZ,10
AB11 6TF,20
AB11 6TN,10
AB11 6TT,20
AB11 6UD,20
AB11 6UQ,20
AB11 6UX,10
AB11 6WT,20
AB11 6XF,10
AB11 6XP,20
AB11 6XU,20
AB11 6YA,20
AB11 6YL,20
AB11 6ZF,80
AB11 7LH,10
AB11 7RY,20
AB11 7SE,20
AB11 7SP,20
AB11 7SX,10
AB11 7TD,10
AB11 7TU,20
AB11 7UF,20
AB11 7UU,20
AB11 7WE,10
AB11 7XY,20
AB11 8BL,10
AB11 8BS,20
AB11 8BY,20
AB11 8DF,30
AB11 8DN,20
AB11 8DT,30
AB11 8EA,30
AB11 8EH,30
AB11 8EQ,40
AB11 8EW,40
AB11 8FD,20
AB11 8FR,20
AB11 8HA,40
AB11 8HH,40
AB11 8HR,30
AB11 8HX,20
AB11 8JU,40
AB11 8LN,30
AB11 8RH,40
AB11 8RQ,20
AB11 8RX,20
AB11 8SD,40
AB11 8SL,30
AB11 8SS,40
AB11 8SY,10
AB11 8TF,40
