,lat,lon,index,lat,lon
0,53.95,-1.086,208458,53.95,-1.086
1,50.96,-1.92,21040,50.97,-1.901
2,51.04,-2.667,24091,51.05,-2.663
3,51.65,-1.868,93304,51.65,-1.864
4,51.49,0.2297,65326,51.49,0.2295
5,51.57,-1.312,80808,51.57,-1.31
6,54.29,-4.34,217510,54.69,-4.417
7,51.38,0.6095,46599,51.38,0.6123
8,56.2,-3.423,239741,56.2,-3.423
9,56.18,-3.355,239489,56.17,-3.338
10,51.16,-2.825,29905,51.17,-2.817
11,51.57,-0.1601,81343,51.57,-0.1575
12,57.03,-2.152,242676,57.03,-2.153
13,51.2,-2.777,31181,51.2,-2.781
14,56.18,-3.35,239489,56.17,-3.338
15,55.86,-3.174,232579,55.86,-3.172
16,51.16,-2.844,29029,51.15,-2.863
17,52.61,-1.147,145345,52.61,-1.147
18,53.07,-1.476,163743,53.07,-1.474
19,53.61,-2.861,192811,53.61,-2.868
20,50.94,0.9321,20497,50.95,0.9338
21,56.22,-3.4,240004,56.23,-3.409
22,54.75,-2.186,218163,54.74,-2.186
23,51.08,-4.06,25339,51.08,-4.06
24,51.19,-2.788,31181,51.2,-2.781
25,50.87,0.0168,16996,50.87,0.01704
26,50.98,-1.94,21781,50.99,-1.929
27,56.12,-3.14,239043,56.12,-3.14
28,52.91,-1.221,157263,52.91,-1.222
29,53.83,-0.5884,205747,53.84,-0.572
30,53.97,-2.437,208728,53.97,-2.436
31,50.62,-3.417,5347,50.62,-3.416
32,54.98,-1.812,222933,54.98,-1.813
33,54.75,-2.014,218285,54.75,-2.013
34,51.83,-0.7956,107384,51.83,-0.7964
35,51.47,0.08189,61120,51.47,0.08006
36,51.22,-1.976,32823,51.23,-1.956
37,51.77,-0.6898,102342,51.76,-0.6905
38,51.57,-0.05343,81613,51.57,-0.05357
39,51.0,0.5895,22514,51.0,0.5924
40,52.24,-0.06821,126759,52.25,-0.06982
41,57.65,-3.309,245723,57.65,-3.309
42,51.86,0.5139,108767,51.86,0.5211
43,50.93,0.9319,20497,50.95,0.9338
44,50.82,-1.35,13336,50.83,-1.351
45,54.11,-4.579,217510,54.69,-4.417
46,50.74,-1.534,8850,50.75,-1.533
47,51.47,0.4748,59567,51.46,0.4967
48,51.17,-2.855,30323,51.18,-2.857
49,51.21,-2.831,32235,51.22,-2.83
50,55.8,-4.597,229879,55.79,-4.592
