,lat,lon,index,lat,lon
0,53.95,-1.086,30984,53.94,-1.08
1,50.96,-1.92,4177,50.96,-1.921
2,51.04,-2.667,5354,51.04,-2.666
3,51.65,-1.868,13043,51.66,-1.867
4,51.49,0.2297,11316,51.47,0.2228
5,51.57,-1.312,11878,51.55,-1.311
6,54.29,-4.34,32677,54.5,-3.604
7,51.38,0.6095,10396,51.38,0.6097
8,56.2,-3.423,33350,55.64,-2.315
9,56.18,-3.355,33350,55.64,-2.315
10,51.16,-2.825,7310,51.17,-2.825
11,51.57,-0.1601,12034,51.56,-0.1506
12,57.03,-2.152,33358,55.76,-2.081
13,51.2,-2.777,7928,51.21,-2.777
14,56.18,-3.35,33350,55.64,-2.315
15,55.86,-3.174,33278,55.07,-2.901
16,51.16,-2.844,6988,51.15,-2.861
17,52.61,-1.147,25771,52.62,-1.125
18,53.07,-1.476,28070,53.07,-1.474
19,53.61,-2.861,29849,53.59,-2.876
20,50.94,0.9321,4070,50.95,0.9079
21,56.22,-3.4,33350,55.64,-2.315
22,54.75,-2.186,32982,54.73,-2.195
23,51.08,-4.06,6081,51.09,-4.057
24,51.19,-2.788,7648,51.19,-2.798
25,50.87,0.0168,3344,50.89,0.02643
26,50.98,-1.94,4771,51.0,-1.947
27,56.12,-3.14,33350,55.64,-2.315
28,52.91,-1.221,27383,52.91,-1.236
29,53.83,-0.5884,30606,53.82,-0.6112
30,53.97,-2.437,30832,53.89,-2.44
31,50.62,-3.417,1276,50.63,-3.417
32,54.98,-1.812,33241,54.98,-1.815
33,54.75,-2.014,33004,54.75,-2.0
34,51.83,-0.7956,14978,51.84,-0.8018
35,51.47,0.08189,11314,51.47,0.08286
36,51.22,-1.976,8991,51.28,-1.979
37,51.77,-0.6898,14074,51.76,-0.69
38,51.57,-0.05343,12038,51.56,-0.04314
39,51.0,0.5895,5127,51.02,0.5851
40,52.24,-0.06821,22256,52.26,-0.0651
41,57.65,-3.309,33350,55.64,-2.315
42,51.86,0.5139,15174,51.85,0.5283
43,50.93,0.9319,4070,50.95,0.9079
44,50.82,-1.35,2695,50.82,-1.341
45,54.11,-4.579,32677,54.5,-3.604
46,50.74,-1.534,2006,50.75,-1.554
47,51.47,0.4748,11157,51.45,0.49
