Lat,Long,Species,Present,Total
53.95,-1.086,Honeybee,1,1887
50.96,-1.92,Red-tailed Bumblebee,1,1442
51.04,-2.667,Honeybee,1,1399
51.65,-1.868,Common Carder,1,1294
51.49,0.2297,Honeybee,1,1281
51.57,-1.312,Red-tailed Bumblebee,1,1260
54.29,-4.34,Honeybee,1,1217
51.04,-2.667,White/Buff-tailed Bumblebee workers,1,1167
51.38,0.6095,Honeybee,1,1165
56.2,-3.423,Red-tailed Bumblebee,1,1144
56.2,-3.423,Common Carder,1,1074
56.18,-3.355,Common Carder,1,1028
51.16,-2.825,Common Carder,1,1024
51.57,-0.1601,Honeybee,1,993
57.03,-2.152,Common Carder,1,937
51.2,-2.777,Common Carder,1,924
56.18,-3.35,Common Carder,1,875
51.65,-1.868,Red-tailed Bumblebee,1,862
55.86,-3.174,Common Carder,1,856
51.16,-2.844,White/Buff-tailed Bumblebee workers,1,848
52.61,-1.147,White/Buff-tailed Bumblebee workers,1,847
53.07,-1.476,Honeybee,1,846
53.61,-2.861,Common Carder,1,841
50.94,0.9321,Red-tailed Bumblebee,1,827
56.22,-3.4,Common Carder,1,817
54.75,-2.186,White/Buff-tailed Bumblebee workers,1,812
51.08,-4.06,Buff-tailed Bumblebee,1,803
51.19,-2.788,Common Carder,1,776
56.2,-3.423,a white-tailed bumblebee,1,766
50.87,0.0168,Honeybee,1,760
51.38,0.6095,Common Carder,1,759
50.98,-1.94,Red-tailed Bumblebee,1,755
51.57,-1.312,Honeybee,1,753
56.12,-3.14,White/Buff-tailed Bumblebee workers,1,751
52.91,-1.221,Honeybee,1,747
53.83,-0.5884,Common Carder,1,745
53.97,-2.437,White/Buff-tailed Bumblebee workers,1,728
52.61,-1.147,Common Carder,1,719
50.62,-3.417,Honeybee,1,717
51.65,-1.868,Buff-tailed Bumblebee,1,706
54.98,-1.812,Honeybee,1,702
54.75,-2.014,White/Buff-tailed Bumblebee workers,1,675
51.83,-0.7956,Honeybee,1,670
51.47,0.08189,Honeybee,1,663
51.22,-1.976,Honeybee,1,654
51.77,-0.6898,Honeybee,1,641
51.16,-2.844,Common Carder,1,631
56.2,-3.423,Buff-tailed Bumblebee,1,628
51.57,-0.05343,Honeybee,1,614
55.86,-3.174,Buff-tailed Bumblebee,1,614
51,0.5895,Red-tailed Bumblebee,1,603
52.24,-0.06821,Red-tailed Bumblebee,1,600
54.29,-4.34,Common Carder,1,595
51.57,-0.05343,White/Buff-tailed Bumblebee workers,1,593
57.65,-3.309,Indet. Bee,1,589
51.86,0.5139,Red-tailed Bumblebee,1,587
54.29,-4.34,Buff-tailed Bumblebee,1,568
50.93,0.9319,Garden Bumblebee,1,566
53.95,-1.086,Tree Bumblebee,1,561
50.94,0.9321,Buff-tailed Bumblebee,1,558
50.82,-1.35,Honeybee,1,556
54.11,-4.579,Honeybee,1,548
57.03,-2.152,a white-tailed bumblebee,1,544
50.74,-1.534,Red-tailed Bumblebee,1,542
51.65,-1.868,White/Buff-tailed Bumblebee workers,1,538
