County,Species,CountySpecies,Agg Total,Agg Present
Aberdeenshire,Buff-tailed Bumblebee,Aberdeenshire Buff-tailed Bumblebee,139,1
Alderney,Buff-tailed Bumblebee,Alderney Buff-tailed Bumblebee,33,1
Angus,Buff-tailed Bumblebee,Angus Buff-tailed Bumblebee,1106,1
Argyll & Bute,Buff-tailed Bumblebee,Argyll & Bute Buff-tailed Bumblebee,1,1
Argyllshire,Buff-tailed Bumblebee,Argyllshire Buff-tailed Bumblebee,46,1
Ayrshire,Buff-tailed Bumblebee,Ayrshire Buff-tailed Bumblebee,137,1
Bedfordshire,Buff-tailed Bumblebee,Bedfordshire Buff-tailed Bumblebee,18,1
Berkshire,Buff-tailed Bumblebee,Berkshire Buff-tailed Bumblebee,372,1
Berwickshire,Buff-tailed Bumblebee,Berwickshire Buff-tailed Bumblebee,0,0
Buckinghamshire,Buff-tailed Bumblebee,Buckinghamshire Buff-tailed Bumblebee,109,1
Caernarvonshire,Buff-tailed Bumblebee,Caernarvonshire Buff-tailed Bumblebee,238,1
Caithness,Buff-tailed Bumblebee,Caithness Buff-tailed Bumblebee,19,1
Camarthenshire,Buff-tailed Bumblebee,Camarthenshire Buff-tailed Bumblebee,8,1
Cambridgeshire,Buff-tailed Bumblebee,Cambridgeshire Buff-tailed Bumblebee,535,1
Cardiganshire,Buff-tailed Bumblebee,Cardiganshire Buff-tailed Bumblebee,86,1
Carmarthenshire,Buff-tailed Bumblebee,Carmarthenshire Buff-tailed Bumblebee,296,1
Ceredigion,Buff-tailed Bumblebee,Ceredigion Buff-tailed Bumblebee,144,1
Cheshire,Buff-tailed Bumblebee,Cheshire Buff-tailed Bumblebee,684,1
Clyde Isles,Buff-tailed Bumblebee,Clyde Isles Buff-tailed Bumblebee,83,1
Conwy,Buff-tailed Bumblebee,Conwy Buff-tailed Bumblebee,35,1
County Durham,Buff-tailed Bumblebee,County Durham Buff-tailed Bumblebee,575,1
Cumberland,Buff-tailed Bumblebee,Cumberland Buff-tailed Bumblebee,184,1
Denbighshire,Buff-tailed Bumblebee,Denbighshire Buff-tailed Bumblebee,134,1
Derbyshire,Buff-tailed Bumblebee,Derbyshire Buff-tailed Bumblebee,802,1
Dorset,Buff-tailed Bumblebee,Dorset Buff-tailed Bumblebee,401,1
Dumfriesshire,Buff-tailed Bumblebee,Dumfriesshire  Buff-tailed Bumblebee,5,1
Dunbartonshire,Buff-tailed Bumblebee,Dunbartonshire Buff-tailed Bumblebee,65,1
East Cornwall,Buff-tailed Bumblebee,East Cornwall Buff-tailed Bumblebee,3,1
East Gloucestershire,Buff-tailed Bumblebee,East Gloucestershire Buff-tailed Bumblebee,53,1
East Inverness-shire,Buff-tailed Bumblebee,East Inverness-shire Buff-tailed Bumblebee,165,1
East Kent,Buff-tailed Bumblebee,East Kent Buff-tailed Bumblebee,4997,1
East Lothian,Buff-tailed Bumblebee,East Lothian Buff-tailed Bumblebee,886,1
East Norfolk,Buff-tailed Bumblebee,East Norfolk Buff-tailed Bumblebee,535,1
East Perthshire,Buff-tailed Bumblebee,East Perthshire Buff-tailed Bumblebee,32,1
East Suffolk,Buff-tailed Bumblebee,East Suffolk Buff-tailed Bumblebee,201,1
East Sussex,Buff-tailed Bumblebee,East Sussex Buff-tailed Bumblebee,1278,1
East Sutherland,Buff-tailed Bumblebee,East Sutherland Buff-tailed Bumblebee,7,1
Fifeshire,Buff-tailed Bumblebee,Fifeshire Buff-tailed Bumblebee,2042,1
Flintshire,Buff-tailed Bumblebee,Flintshire Buff-tailed Bumblebee,0,0
Glamorganshire,Buff-tailed Bumblebee,Glamorganshire Buff-tailed Bumblebee,178,1
Gwent,Buff-tailed Bumblebee,Gwent Buff-tailed Bumblebee,1,1
Herefordshire,Buff-tailed Bumblebee,Herefordshire Buff-tailed Bumblebee,181,1
Hertfordshire,Buff-tailed Bumblebee,Hertfordshire Buff-tailed Bumblebee,35,1
Huntingdonshire,Buff-tailed Bumblebee,Huntingdonshire Buff-tailed Bumblebee,16,1
Isle of Man,Buff-tailed Bumblebee,Isle of Man Buff-tailed Bumblebee,690,1
Isle of Wight,Buff-tailed Bumblebee,Isle of Wight Buff-tailed Bumblebee,13,1
Kincardineshire,Buff-tailed Bumblebee,Kincardineshire Buff-tailed Bumblebee,307,1
Kirkudbrightshire,Buff-tailed Bumblebee,Kirkudbrightshire Buff-tailed Bumblebee,74,1
Lanarkshire,Buff-tailed Bumblebee,Lanarkshire Buff-tailed Bumblebee,556,1
Lancashire,Buff-tailed Bumblebee,Lancashire Buff-tailed Bumblebee,187,1
